id,const_anon_id,response_auto_and_manual,manualresponse_exists_inc_post_count_nonresponse,manualresponse_exists,partycongruent,partycongruent_neat,issue,position,send_cat,mp_type_detailed,mp_type_abstain_nonreb,diff_mp_party_outliers_removed,diff_mp_party,has_response_info,respondent_reported_letter_status,lr_mp_party,word_total
318,17,TRUE,1,1,0,Constituent-party not congruent,immigration,agree,beyond 6,loyalist,loyalist,-0.026315789473684213,-0.026315789473684213,0,NA,-1.8718021769015913,418
318,17,TRUE,1,1,0,Constituent-party not congruent,skilled,agree,beyond 6,loyalist,loyalist,-0.026315789473684213,-0.026315789473684213,0,NA,-1.8718021769015913,418
318,17,FALSE,0,0,0,Constituent-party not congruent,tuitionfree,disagree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
325,17,FALSE,0,0,0,Constituent-party not congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
331,17,TRUE,1,1,1,Constituent-party congruent,skilled,disagree,beyond 6,loyalist,loyalist,-0.026315789473684213,-0.026315789473684213,0,NA,-1.8718021769015913,418
331,17,TRUE,0,0,1,Constituent-party congruent,tuitionfree,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
331,17,FALSE,0,0,1,Constituent-party congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
334,17,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,1,loyalist,loyalist,-0.0013888888888888874,-0.0013888888888888874,0,NA,-0.04445176257083381,720
334,17,TRUE,1,1,0,Constituent-party not congruent,customs,disagree,2-6,unclear rebel,loyalist,-0.0013888888888888874,-0.0013888888888888874,0,NA,-0.04445176257083381,720
334,17,TRUE,0,0,0,Constituent-party not congruent,regulation,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
336,17,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,2-6,loyalist,loyalist,-0.0013888888888888874,-0.0013888888888888874,0,NA,-0.04445176257083381,720
336,17,TRUE,1,1,1,Constituent-party congruent,customs,agree,2-6,unclear rebel,loyalist,-0.0013888888888888874,-0.0013888888888888874,0,NA,-0.04445176257083381,720
337,18,FALSE,0,0,1,Constituent-party congruent,regulation,agree,1,extreme rebel,rebel,NA,NA,0,NA,NA,NA
337,18,FALSE,0,0,1,Constituent-party congruent,singlem,disagree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
337,18,FALSE,0,0,0,Constituent-party not congruent,tuitionlevel,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
339,18,FALSE,0,0,0,Constituent-party not congruent,regulation,disagree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
339,18,FALSE,0,0,0,Constituent-party not congruent,singlem,agree,2-6,extreme rebel,rebel,NA,NA,0,NA,NA,NA
339,18,FALSE,0,0,1,Constituent-party congruent,tuitionlevel,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
296,19,TRUE,1,1,0,Constituent-party not congruent,regulation,disagree,1,extreme rebel,rebel,-0.01293103448275862,-0.01293103448275862,0,NA,-0.6190392084062235,464
296,19,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,agree,2-6,loyalist,loyalist,0.006896551724137931,0.006896551724137931,0,NA,0.6931471805599453,435
405,19,TRUE,1,1,1,Constituent-party congruent,regulation,agree,2-6,extreme rebel,rebel,0.01659751037344398,0.01659751037344398,0,NA,0.8472978603872037,241
405,19,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,disagree,2-6,loyalist,loyalist,0.006896551724137931,0.006896551724137931,0,NA,0.6931471805599453,435
409,20,TRUE,1,1,1,Constituent-party congruent,tuitionfree,agree,1,loyalist,loyalist,0.0165016501650165,0.0165016501650165,0,NA,0.9808292530117262,303
410,20,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,disagree,2-6,loyalist,loyalist,0.03986710963455149,0.03986710963455149,1,0,1.9459101490553132,301
276,21,TRUE,0,0,1,Constituent-party congruent,secondr,disagree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
276,21,TRUE,0,0,1,Constituent-party congruent,customs,disagree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
276,21,TRUE,0,0,1,Constituent-party congruent,freedomm,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
421,21,TRUE,0,0,0,Constituent-party not congruent,secondr,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
421,21,TRUE,0,0,0,Constituent-party not congruent,customs,agree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
421,21,TRUE,0,0,0,Constituent-party not congruent,freedomm,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
68,22,FALSE,0,0,0,Constituent-party not congruent,tuitionfree,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
71,22,FALSE,0,0,0,Constituent-party not congruent,customs,disagree,2-6,unclear rebel,loyalist,NA,NA,1,0,NA,NA
281,22,FALSE,0,0,0,Constituent-party not congruent,skilled,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
281,22,FALSE,0,0,1,Constituent-party congruent,tuitionfree,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
322,22,FALSE,0,0,1,Constituent-party congruent,customs,agree,1,unclear rebel,loyalist,NA,NA,1,0,NA,NA
422,22,FALSE,0,0,1,Constituent-party congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
424,23,TRUE,1,0,1,Constituent-party congruent,secondr,disagree,2-6,loyalist,loyalist,NA,NA,1,1,NA,NA
424,23,TRUE,1,0,1,Constituent-party congruent,singlem,disagree,2-6,loyalist,loyalist,NA,NA,1,1,NA,NA
424,23,TRUE,1,0,1,Constituent-party congruent,skilled,agree,2-6,loyalist,loyalist,NA,NA,1,1,NA,NA
425,23,FALSE,0,0,0,Constituent-party not congruent,secondr,agree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
425,23,FALSE,0,0,0,Constituent-party not congruent,skilled,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
425,23,FALSE,0,0,1,Constituent-party congruent,tuitionfree,disagree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
