Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
2,43.8226362,26.916725642840294,23.381671812968683,2001-06-07,TRUE,Excluded (no letters),Excluded,10
1,60.6437746,6.036324786324786,10.656706339157592,2010-05-06,FALSE,Included (letters sent),Included,2
5,53.20823588,9.524970143069536,14.212696357378949,2010-05-06,TRUE,Excluded (no letters),Excluded,10
1,55.16311742,7.365130488324728,13.109956493160976,2010-05-06,FALSE,Excluded (no letters),Excluded,10
3,56.26121404,2.697377494926408,16.676856011270303,1997-05-01,FALSE,Excluded (no letters),Excluded,7
1,72.69939242,42.209796466114966,6.02253151404118,2010-05-06,FALSE,Excluded (no letters),Excluded,6
5,45.37013739,0.2615233736515201,17.866196747665864,2017-06-09,FALSE,Excluded (no letters),Excluded,10
1,57.8746718,29.616137451065683,15.382735108709635,2015-05-08,TRUE,Excluded (no letters),Excluded,4
1,63.90539181,23.296948095344174,9.10369251601479,2010-05-06,FALSE,Excluded (no letters),Excluded,8
1,42.65303264,8.258814043832002,23.503433418607784,2015-05-08,FALSE,Excluded (no letters),Excluded,2
1,50.68320063,23.869152303904325,18.034072946548797,2017-06-09,FALSE,Excluded (no letters),Excluded,6
1,29.09905564,19.43600455753893,47.0916611552646,2005-05-05,FALSE,Included (letters sent),Included,7
1,42.89897606,4.506068897775907,25.69405262248834,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,44.98498396,40.070947658003334,27.84918362084176,1992-04-09,FALSE,Included (letters sent),Included,8
2,42.27570868,16.26344800694777,23.020650179036668,2015-05-08,TRUE,Excluded (no letters),Excluded,2
2,59.293253199999995,20.04089552861644,10.709049626986701,2010-05-06,FALSE,Excluded (no letters),Excluded,4
1,50.732770689999995,37.75326279248306,19.007933327991026,2017-06-09,FALSE,Excluded (no letters),Excluded,8
1,49.88047103,5.191541917761547,19.864423022718306,1992-04-09,FALSE,Included (letters sent),Included,7
1,51.58581819,29.10395519775989,17.289616921147555,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,41.074577950000005,0.6369196903812496,29.205740346338686,2005-05-05,FALSE,Included (letters sent),Included,7
2,56.745851,13.502534421396986,15.474955926578865,1997-05-01,FALSE,Excluded (no letters),Excluded,2
1,59.96396120000001,49.71165619939171,11.259257193065647,1983-06-09,FALSE,Excluded (no letters),Excluded,9
1,28.053672849999998,8.14404718787189,48.299801062367976,2001-06-07,TRUE,Included (letters sent),Included,7
1,73.0439705,35.85457016649677,5.098757212605415,2017-06-09,FALSE,Excluded (no letters),Excluded,6
1,69.50382101,21.737312933701194,8.680794667567532,2010-05-06,FALSE,Excluded (no letters),Excluded,3
2,59.883856300000005,11.624059347814484,11.801059446733372,2010-05-06,FALSE,Excluded (no letters),Excluded,10
1,53.01311812,8.45427264229842,13.417461146663184,2005-05-05,FALSE,Excluded (no letters),Excluded,10
2,38.77654749,3.5213143872113677,NA,2017-06-09,FALSE,Excluded (no letters),Excluded,11
1,51.51448181,10.602297133252405,16.56585677021039,2015-05-08,TRUE,Excluded (no letters),Excluded,6
2,50.05534919,1.5143992055610724,18.617802000250315,2017-06-09,FALSE,Included (letters sent),Included,3
1,52.61269112,22.441357969803132,18.01329549634768,2010-05-06,FALSE,Excluded (no letters),Excluded,2
1,59.19658371999999,3.948563840939269,11.954602774274905,2017-02-24,FALSE,Excluded (no letters),Excluded,2
1,60.14688934,4.483557511208894,10.991560701530902,2015-05-08,FALSE,Excluded (no letters),Excluded,4
1,60.19250026,14.133165829145728,11.492594729755723,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,55.098705790000004,32.772809258980914,13.415382099194503,2010-05-06,FALSE,Excluded (no letters),Excluded,9
1,47.924183799999994,42.710461961073335,21.180912717328585,1992-04-09,FALSE,Excluded (no letters),Excluded,9
2,57.774568179999996,33.49961296981164,11.906243031021491,2015-05-08,FALSE,Excluded (no letters),Excluded,5
2,58.37436003999999,17.211980180144035,14.388171687079335,1976-03-04,FALSE,Excluded (no letters),Excluded,5
2,50.37949289,16.905273458273946,18.77604762995191,1992-04-09,FALSE,Excluded (no letters),Excluded,5
1,58.4136714,4.8873152586875666,12.121964777821145,2010-05-06,FALSE,Excluded (no letters),Excluded,8
2,60.28912320999999,0.08722990531920694,13.232488103174786,2017-06-09,TRUE,Excluded (no letters),Excluded,2
2,50.31024068999999,9.899984235693893,19.942138420982083,2017-06-09,TRUE,Excluded (no letters),Excluded,7
2,41.16806604,54.28274323667041,20.903201036617556,2012-11-30,TRUE,Excluded (no letters),Excluded,7
1,45.80567492,18.61991282628924,23.219116818869466,2015-05-08,FALSE,Excluded (no letters),Excluded,7
